Model,GreenAI_norm,Execution_Time,Memory_MB,RMSE
Base_RandomForest_B0005,0.09254597246375917,0.1513066291809082,0.11328125,0.020471408624790504
Base_XGBoost_B0005,0.11771077208751742,0.05292487144470215,0.00390625,0.02225363416530697
Base_LightGBM_B0005,0.19074881647543052,0.020160436630249023,0.02734375,0.027244143563528132
RandomForest_PSO_B0005,0.28158558518662835,49.066017389297485,-17.578125,0.018525406516392506
Base_LightGBM_B0006,0.3048879840437931,0.02105426788330078,0.00390625,0.03503724069252581
Base_XGBoost_B0006,0.3214782187865123,0.03999638557434082,0.73828125,0.03598257235462226
Base_LightGBM_B0018,0.34102270338471835,0.0211031436920166,0.0,0.03750365065574939
Base_RandomForest_B0006,0.34417234686937265,0.14382433891296387,0.25,0.037609473051986884
RandomForest_WOA_B0005,0.3710753412785944,53.01271057128906,-0.05078125,0.018808262019858368
RandomForest_Bayesian_B0005,0.3735605709392463,16.62833046913147,46.08984375,0.021971387855637615
Base_XGBoost_B0018,0.3866031391872664,0.053000450134277344,0.6171875,0.0404505080696135
Base_RandomForest_B0018,0.3970760235922684,0.150834321975708,0.03515625,0.041268776820892646
RandomForest_GWO_B0005,0.39904401279972496,54.73976373672485,0.03125,0.020020015976574015
LightGBM_PSO_B0006,0.39914654027494506,16.620988368988037,0.078125,0.034947749320899696
LightGBM_GWO_B0006,0.4004855868219572,16.875306606292725,0.0,0.03495855315857693
RandomForest_GA_B0005,0.4033762964934002,58.07930779457092,0.3046875,0.018940692549443607
LightGBM_WOA_B0006,0.4130235907982775,18.9289071559906,0.265625,0.03494475289889373
LightGBM_GA_B0018,0.41915273953211885,13.434427499771118,0.0,0.03758010236394285
LightGBM_GA_B0006,0.4226329752843581,21.912658214569092,0.0,0.0344964022867918
LightGBM_PSO_B0018,0.42816226510047795,15.718588590621948,0.0625,0.03728480314416849
LightGBM_GWO_B0018,0.43191763271712197,14.646772146224976,0.00390625,0.03797519038535115
LightGBM_WOA_B0018,0.46367319905259796,19.04001545906067,0.0,0.03842187475136008
LightGBM_Bayesian_B0006,0.6572059846948474,16.222522497177124,70.38671875,0.03555460330641608
LightGBM_Bayesian_B0018,0.7133267263900501,16.837035655975342,75.625,0.03786476374476538
