Model,GreenAI_norm,Execution_Time,Memory_MB,RMSE
Base_RandomForest_B0005,0.31029396744421,0.15385937690734863,0.171875,0.02047140862479051
RandomForest_GWO_B0005,0.3333333333333333,55.26736092567444,-419.51953125,0.018644298400489357
Base_XGBoost_B0005,0.3357790895327664,0.044928550720214844,0.0,0.02225363416530697
Base_LightGBM_B0005,0.40925083267159973,0.021000146865844727,0.1328125,0.027244143563528132
RandomForest_Bayesian_B0005,0.46473331070465923,17.031707525253296,45.484375,0.021971387855637625
Base_LightGBM_B0006,0.523973453351927,0.019999980926513672,0.0,0.03503724069252581
Base_XGBoost_B0006,0.5386484655949065,0.05491161346435547,0.796875,0.03598257235462226
Base_LightGBM_B0018,0.5603325532676374,0.023000001907348633,0.00390625,0.03750365065574939
Base_RandomForest_B0006,0.5627825092455224,0.15800905227661133,0.1171875,0.03760947305198687
RandomForest_WOA_B0005,0.5964430798696784,51.26631212234497,-0.03125,0.01897143184744577
Base_XGBoost_B0018,0.6038848695505356,0.045000314712524414,0.0078125,0.0404505080696135
RandomForest_PSO_B0005,0.6051322868984388,53.78567576408386,-11.421875,0.019050009086669085
RandomForest_GA_B0005,0.605312619774856,53.161746978759766,0.05078125,0.018793485333880183
LightGBM_GA_B0006,0.6057948992586472,16.720466375350952,0.0,0.03375169551825769
LightGBM_GWO_B0006,0.6118646052375206,14.543281316757202,0.09765625,0.03505078892204493
LightGBM_PSO_B0006,0.614687431673007,18.635059595108032,0.2265625,0.03356085930137239
Base_RandomForest_B0018,0.6166753666835271,0.15543675422668457,0.109375,0.04126877682089269
LightGBM_WOA_B0006,0.6316391281982007,18.214057207107544,0.0,0.0348941881777159
LightGBM_WOA_B0018,0.6327541499538797,10.240673542022705,0.0078125,0.038234710867186085
LightGBM_PSO_B0018,0.6395773306469889,15.6398766040802,-0.1015625,0.03649178121840385
LightGBM_GA_B0018,0.6397053176299919,14.311665534973145,0.0,0.03703974587594721
LightGBM_GWO_B0018,0.648295639620092,14.89520263671875,0.0,0.037383834870464046
LightGBM_Bayesian_B0006,0.6774804765091605,16.24495816230774,71.28125,0.03555460330641608
LightGBM_Bayesian_B0018,0.7183386313873439,16.896575927734375,75.57421875,0.03786476374476538
