battery,model,optimizer,test_RMSE_mean,test_RMSE_std,test_RMSE_count,test_MAE_mean,test_MAE_std,test_R2_mean,test_R2_std,test_MAPE_mean,test_MAPE_std,hpo_time_mean,hpo_time_std,training_time_mean,training_time_std,inference_ms_mean,inference_ms_std,model_size_mb_mean,model_size_mb_std,hpo_peak_ram_delta_mb_mean,hpo_peak_ram_delta_mb_std,train_peak_ram_delta_mb_mean,train_peak_ram_delta_mb_std,RMSE_CI_lower,RMSE_CI_upper,baseline_RMSE_mean,RMSE_Improvement_pct,Pareto_Optimal_Battery,Pareto_Optimal_Overall,GreenAI_Score
B0005,LightGBM,Baseline,0.028148475421760764,0.0,20,0.026545199570525573,0.0,-10.292648763098235,0.0,4.04207486226157,0.0,0.0,0.0,0.013864995050244033,0.003842288140881401,0.4878199892118573,0.13777712267104128,0.06611566543579102,1.6107306749270528e-06,0.0,0.0,0.0197265625,0.0008734640537108552,0.02814847542176077,0.02814847542176077,0.028148475421760764,0.0,,,
B0005,LightGBM,Bayesian,0.0200072338116414,0.0008154337879320994,20,0.018364610471270443,0.0007592246402062602,-4.714062261268291,0.47337517970238957,2.799679951151689,0.11554372363471362,107.45784651997965,57.6658248899968,0.07823272494133562,0.060238216176868614,0.4810074926353991,0.14485033705212438,0.45089330673217776,0.35897815235332614,269.938671875,45.45710189363266,0.3904296875,0.5968036776134785,0.019704340552146742,0.020415851781667955,0.028148475421760764,28.922495759133046,False,False,0.6166628904133593
B0005,LightGBM,GA,0.028138425032585106,0.008014709438112971,20,0.026738115303884112,0.008312778691473325,-11.154317712422937,7.813418603601614,4.070663899015619,1.2608339991222381,2.5697771600447594,1.1532613663226545,0.05196687495335937,0.033665071441404494,0.45359996147453785,0.14897739438383822,0.22922492027282715,0.17907084357877787,1.1076171875,0.36176149775468047,0.2736328125,0.4617547446089687,0.025452696099015903,0.03277929748414841,0.028148475421760764,0.03570491483133167,False,False,0.9192559485356165
B0005,LightGBM,GWO,0.02091840811633276,0.0018889594650478244,20,0.01935882251345203,0.001923794516022238,-5.284846488377583,1.1958422006308576,2.9505730049926653,0.2923434527322254,3.2157706500263883,2.238642588017289,0.07043023996520788,0.061245313427321486,0.4945275140926242,0.16086253633876188,0.33228745460510256,0.2721238321479613,1.4896484375,0.5470662773455301,0.393359375,0.509246614884962,0.020233798945868436,0.021956490638520298,0.028148475421760764,25.685466786732796,True,True,0.952257314557053
B0005,LightGBM,PSO,0.020045873262418808,0.0012918463096407372,20,0.018333362149286735,0.001151175052337755,-4.749712598863051,0.7878111527705555,2.7950941341888593,0.17501095352692866,3.9968337699538097,1.4730265430569722,0.08747136003803462,0.044367255000644146,0.5064999801106751,0.15369496972643718,0.5361071586608886,0.3048770400472474,1.5134765625,0.5470739109005043,0.4689453125,0.7435750047663664,0.019653410376260387,0.02083431542972873,0.028148475421760764,28.785225622124,True,True,0.9475300753703906
B0005,LightGBM,RandomSearch,0.02722008056745547,0.004186267058278493,20,0.0257994579023711,0.004387487475434171,-9.797304646342052,3.356592004132916,3.9284564495839818,0.6654256381190723,1.4075709000695498,0.37264479976414583,0.03718386001419276,0.016726588091515032,0.4046099493280053,0.11574243505742943,0.1595839023590088,0.0885358419332642,1.1130859375,0.13490321208884293,0.11640625,0.31167293926998346,0.025549632497939036,0.029177040479264667,0.028148475421760764,3.2982065294647565,True,True,0.9295627583492471
B0005,LightGBM,WOA,0.022803731111797555,0.003717175251012484,20,0.02120954837509286,0.0038411619278743425,-6.598443251330378,2.7674983514896607,3.2317450500654035,0.5831308085835653,2.1647921299561856,1.4948504537863356,0.03897374493535608,0.030780720866385877,0.4743674537166953,0.14576217637076816,0.19874076843261718,0.2007844799476835,1.330078125,0.6935969234937656,0.27109375,0.4565862867105965,0.021588425131307497,0.024944673173955923,0.028148475421760764,18.987686650451213,True,True,0.9492156286133137
B0005,RandomForest,Baseline,0.01889432316107361,0.0004001061902369703,20,0.017190354441865473,0.0004211321512000501,-4.090186728899639,0.2148210284582881,2.621327175812705,0.06398144686514613,0.0,0.0,0.16334761497564615,0.02229964408191641,5.573174997698516,0.8509876891221149,1.2599565505981445,0.004502189277594201,0.0,0.0,0.034375,0.03741595571111763,0.01871470728780966,0.019054938612657075,0.01889432316107361,0.0,,,
B0005,RandomForest,Bayesian,0.018723176572180717,0.00034559197054850324,20,0.017016428001239293,0.00032825167296498387,-3.997878260162744,0.18329135511363467,2.5947972107275956,0.04998081539146824,82.44161879003514,34.78354811049597,0.34548688498325647,0.2021713768332334,13.920822413638234,8.257139417094448,3.0610986709594727,1.9062830873035004,178.590234375,21.312433939868342,0.1380859375,0.22492701367276716,0.01854828194662637,0.018851145163912297,0.01889432316107361,0.9058095780085536,False,False,0.49263459077656935
B0005,RandomForest,GA,0.01983518726710931,0.001040340246894545,20,0.018158119480595668,0.001072507220448839,-4.622017193863056,0.6011685785881801,2.7683037908332344,0.16290054479742108,28.573027759999967,9.452512967668298,0.28763484000228345,0.12028191128587762,14.498877548612654,6.638986793727181,1.6883295059204102,1.2163118972309104,0.3703125,0.9358474676075516,0.065625,0.2266780274873575,0.019436803891647193,0.020332337868968348,0.01889432316107361,-4.979612648809162,False,False,0.7678490944639367
B0005,RandomForest,GWO,0.0189316108667262,0.000503747481114965,20,0.01723660750726986,0.0005302796979644592,-4.111557181357108,0.2775762243777223,2.6282536955093536,0.08054645220717402,27.679632209986448,14.491416403487351,0.2577970749465749,0.17772933441533623,11.664792499504983,8.48743288492643,2.2778512954711916,1.7640396605356932,0.623046875,1.1510027880158014,0.015234375,0.009041846360592102,0.01876075569858077,0.01920246916024982,0.01889432316107361,-0.19734872392470565,False,False,0.7027487594296418
B0005,RandomForest,PSO,0.018718145341579468,0.00020014616272182324,20,0.017031667643687402,0.0001996650934870966,-3.994118743485481,0.10707092858703984,2.5970198535242037,0.03036494020058047,35.83107945008669,12.37237304057166,0.43010746999643745,0.1883842440338381,18.424854998011142,7.8341143241947,4.248079872131347,1.731940197923913,1.6466796875,1.851431712343814,0.1916015625,0.7687219969677067,0.018637297509657164,0.018810119659577285,0.01889432316107361,0.9324378438551674,False,False,0.5703200715811854
B0005,RandomForest,RandomSearch,0.019102399971446256,0.0005362478291210056,20,0.017415608562432267,0.0005054877749834853,-4.2045950775643615,0.303039060634624,2.6554536171733227,0.07690238481175972,27.50926403508056,7.504638666864824,0.37381407506763936,0.1907796486278113,16.16028246935457,9.476647645239574,2.5751413345336913,1.3883268034011065,4.3283203125,17.38434062782465,0.018359375,0.01076132789402698,0.018948088619025444,0.019493137684370315,0.01889432316107361,-1.1012662829930244,False,False,0.7112323798588656
B0005,RandomForest,WOA,0.01933639672652223,0.001095134173518343,20,0.017595147528594285,0.0010908043246597538,-4.345133418649779,0.6358507239227676,2.682758234962272,0.16573720815171866,20.964741480024532,11.57322221941404,0.20637015495449304,0.17725678613497306,9.571962500922382,6.826652973931359,1.7964212417602539,1.475506336638297,0.6017578125,0.946458257739124,0.0189453125,0.013783030284669805,0.018980979108978297,0.019986027707893313,0.01889432316107361,-2.3397163353243937,False,False,0.7805665415668899
B0005,XGBoost,Baseline,0.015307291818542812,0.0,20,0.013586820161943949,0.0,-2.339510310566442,0.0,2.073596895476649,0.0,0.0,0.0,0.048116350057534875,0.005202106900465718,0.17511998303234577,0.037956042757249245,0.09106931686401368,9.73544665401243e-07,0.0,0.0,0.2173828125,0.6084138567125029,0.015307291818542809,0.015307291818542809,0.015307291818542812,0.0,,,
B0005,XGBoost,Bayesian,0.018124988980624413,0.0034480061984651887,20,0.016492205709846018,0.003511381944296597,-3.8430798129395525,2.0391357930021585,2.5146117033253725,0.5334992875372053,99.20129327995237,45.61761164253304,0.23488990501500667,0.47761843476122273,0.27261744253337383,0.16988706603297207,0.3606959342956543,0.4284744998357885,254.529296875,55.87703128465504,2.42734375,3.203159950467216,0.01693149396015131,0.02010104637760349,0.015307291818542812,-18.407548477440823,False,True,0.6656323164658129
B0005,XGBoost,GA,0.05657033074803821,0.026841771683875613,20,0.055795376075832445,0.02723682096673421,-54.36546686441583,45.813710283928074,8.476681312923656,4.1309675426963945,5.573119555017911,2.537735967362446,0.08152179499156773,0.05041232480147948,0.21398502867668867,0.06503941591656975,0.22225303649902345,0.10833524438208968,0.8703125,0.8465120255954998,0.626171875,0.7587911858903941,0.0450546319358608,0.06815112607956274,0.015307291818542812,-269.56459325816564,False,False,0.6675943297106444
B0005,XGBoost,GWO,0.019032999667703734,0.005554718664031847,20,0.017430428087395665,0.00575625541028008,-4.580747906975186,3.893807874890505,2.657149871458432,0.8737690820619507,6.316087349923327,2.078062572485686,0.10257808496244251,0.04312400751945265,0.2534299739636481,0.09019829681778008,0.2381650447845459,0.08623763532507589,2.948046875,2.1738863937874404,2.297265625,1.9475029694048918,0.01727148386834326,0.02244768995847045,0.015307291818542812,-24.339431777525185,True,False,0.9378968110044055
B0005,XGBoost,PSO,0.016381523637373625,0.0022560291961992883,20,0.014749709077908239,0.002327564749552031,-2.8935886767162287,1.2760387925531158,2.2498044544906377,0.35358724135733044,8.112701669987292,2.8883078437943968,0.13054062004666775,0.07294810053594905,0.27021998539566994,0.07748738554869856,0.2961876392364502,0.17923037522083254,4.953125,2.9869290079856086,2.9345703125,2.006448038749928,0.01577577504685573,0.018207225740049494,0.015307291818542812,-7.017778399765782,True,False,0.91568558154059
B0005,XGBoost,RandomSearch,0.06722913513775819,0.008830655114099951,20,0.06669695166868042,0.00890387025472976,-64.47292548381805,17.13480919390382,10.130377533470352,1.3502250127887159,4.481557565019466,1.173889137691633,0.07068105996586382,0.028841269329523588,0.25176245253533125,0.07958424628546244,0.20649957656860352,0.09439254781109703,0.534375,0.3088411420917228,0.0203125,0.007236141189142909,0.06347155827785675,0.0711370248401772,0.015307291818542812,-339.1967954535155,False,False,0.6511278033515178
