Model,GreenAI_norm,Execution_Time,Memory_MB,RMSE
LightGBM_GA_B0006,0.2838334424713994,0.0,0.0,0.0
LightGBM_Bayesian_B0006,0.3790362462388506,16.36967945098877,-431.75390625,0.03555460330641608
Base_RandomForest_B0005,0.4501453671018703,0.15673279762268066,0.125,0.02047140862479048
Base_XGBoost_B0005,0.4638901466386547,0.055454254150390625,0.0,0.02225363416530697
Base_LightGBM_B0005,0.5041310468109518,0.04331827163696289,0.0,0.027244143563528132
Base_LightGBM_B0006,0.5672253176721872,0.0221710205078125,0.40625,0.03503724069252581
Base_XGBoost_B0006,0.5752547050929158,0.05299663543701172,0.7421875,0.03598257235462226
Base_LightGBM_B0018,0.5869822694114767,0.027166366577148438,0.11328125,0.03750365065574939
Base_RandomForest_B0006,0.5889140748564375,0.16144657135009766,0.60546875,0.03760947305198691
RandomForest_Bayesian_B0005,0.5892668551650228,17.554943799972534,44.8125,0.021971387855637597
Base_XGBoost_B0018,0.6112032093041984,0.051000356674194336,0.546875,0.0404505080696135
Base_RandomForest_B0018,0.6182396671174026,0.161452054977417,0.25390625,0.041268776820892646
LightGBM_GWO_B0006,0.6200453636615149,11.609015464782715,0.09765625,0.03355210166732052
LightGBM_WOA_B0006,0.6357152342877822,12.360156774520874,0.27734375,0.03495566681028946
LightGBM_GWO_B0018,0.6676580829861606,14.577119588851929,0.05078125,0.03738864624336409
LightGBM_GA_B0018,0.67156913273011,16.00864863395691,0.0,0.036882467958834333
LightGBM_PSO_B0006,0.6770426743687846,19.592174530029297,0.1015625,0.03506228320681725
LightGBM_PSO_B0018,0.6811018528209232,16.41957664489746,-0.171875,0.03779118451384629
RandomForest_PSO_B0005,0.701904576554165,51.44095826148987,-30.75390625,0.018525406516392475
LightGBM_WOA_B0018,0.7098846908794236,21.04153275489807,0.01171875,0.03812873460466873
LightGBM_Bayesian_B0018,0.7403577481133987,18.032130241394043,75.296875,0.03786476374476538
RandomForest_WOA_B0005,0.7459188969719723,53.727192401885986,-3.171875,0.020141449085125423
RandomForest_GWO_B0005,0.7546206640858513,55.06189441680908,0.1640625,0.02002001597657402
RandomForest_GA_B0005,0.7705487034332131,59.4027373790741,0.6015625,0.018940692549443604
