Model,GreenAI_norm,Execution_Time,Memory_MB,RMSE
Base_RandomForest_B0005,0.1259986431984568,0.15981197357177734,0.171875,0.020471408624790507
Base_XGBoost_B0005,0.15093999960403617,0.047265052795410156,0.01171875,0.02225363416530697
Base_LightGBM_B0005,0.2240165526527047,0.04242730140686035,0.0,0.027244143563528132
RandomForest_PSO_B0005,0.32041291263440147,51.78839445114136,-30.8046875,0.019050009086669102
Base_LightGBM_B0006,0.33932389258168755,0.019051790237426758,0.39453125,0.03503724069252581
Base_XGBoost_B0006,0.3540983872347883,0.04821348190307617,0.6328125,0.03598257235462226
Base_LightGBM_B0018,0.3742840352637263,0.02203989028930664,0.0078125,0.03750365065574939
Base_RandomForest_B0006,0.37888098563601647,0.15512728691101074,0.7265625,0.037609473051986905
RandomForest_Bayesian_B0005,0.38940037820859374,17.502548217773438,43.98046875,0.02197138785563759
RandomForest_WOA_B0005,0.39677788132878694,48.47330331802368,0.0,0.019070441611782354
LightGBM_GA_B0006,0.39802862144042356,13.237227201461792,0.0,0.03367864938461934
LightGBM_GWO_B0006,0.41414038609661574,13.34943151473999,0.0,0.03473171084465708
LightGBM_WOA_B0006,0.4174389353065909,13.128206491470337,0.2265625,0.03499973079619651
Base_XGBoost_B0018,0.4176379524906018,0.05321216583251953,0.0,0.0404505080696135
RandomForest_GWO_B0005,0.41993225130379686,55.20009708404541,-3.04296875,0.018525406516392475
RandomForest_GA_B0005,0.42171335356757567,53.01261019706726,-0.078125,0.018917502684167198
Base_RandomForest_B0018,0.43081859595811994,0.15504884719848633,0.18359375,0.041268776820892646
LightGBM_WOA_B0018,0.4509603657903977,10.848367691040039,0.01171875,0.03827228421774089
LightGBM_PSO_B0006,0.4559916063519189,20.05722951889038,0.30859375,0.03475686479346114
LightGBM_PSO_B0018,0.4705356478300864,15.888570547103882,-0.1484375,0.03756462916688586
LightGBM_GWO_B0018,0.477488328798501,17.004579544067383,0.0,0.03754744545674974
LightGBM_GA_B0018,0.4866982993705243,13.755577325820923,0.09375,0.039494995378558787
LightGBM_Bayesian_B0006,0.6657259790585467,16.448456525802612,70.78515625,0.03555460330641608
LightGBM_Bayesian_B0018,0.7230980376842581,17.619856119155884,76.0546875,0.03786476374476538
