Model,GreenAI_norm,Execution_Time,Memory_MB,RMSE
Base_RandomForest_B0005,0.12085354174749752,0.16325116157531738,0.046875,0.020471408624790525
Base_XGBoost_B0005,0.14680980173667957,0.04107093811035156,0.09765625,0.02225363416530697
Base_LightGBM_B0005,0.22093277790693622,0.04151725769042969,0.0,0.027244143563528132
RandomForest_PSO_B0005,0.3199449271870351,50.037672996520996,-30.90234375,0.018917502684167215
Base_LightGBM_B0006,0.3370110875263834,0.01912856101989746,0.0,0.03503724069252581
Base_XGBoost_B0006,0.35400493954995715,0.047992706298828125,0.8671875,0.03598257235462226
Base_LightGBM_B0018,0.37379919788042587,0.019999265670776367,0.0,0.03750365065574939
Base_RandomForest_B0006,0.37673385451048286,0.1442420482635498,0.1796875,0.03760947305198689
RandomForest_Bayesian_B0005,0.39274697786428914,16.991408586502075,45.4296875,0.021971387855637584
RandomForest_GA_B0005,0.4061806640582781,47.96061182022095,0.046875,0.0191028438123752
Base_XGBoost_B0018,0.420229644920117,0.05303692817687988,0.7265625,0.0404505080696135
RandomForest_WOA_B0005,0.42326314601170995,49.751643896102905,0.12109375,0.019464536537618347
Base_RandomForest_B0018,0.4311662481494774,0.14331865310668945,0.13671875,0.041268776820892715
LightGBM_GA_B0006,0.4391102866973242,16.570659637451172,0.0,0.03478423977508284
LightGBM_PSO_B0006,0.44363852920997476,15.121346950531006,-0.140625,0.03573898227048872
RandomForest_GWO_B0005,0.4464843461814145,52.1307475566864,0.03125,0.020020015976574036
LightGBM_GWO_B0006,0.4542047163736447,18.588945865631104,0.0,0.03493071275165066
LightGBM_GWO_B0018,0.47041549727002785,15.092255353927612,-1.5234375,0.03783684085329951
LightGBM_PSO_B0018,0.4742421399576053,15.66393256187439,-0.05078125,0.037539515933704075
LightGBM_WOA_B0006,0.47680521963517014,22.314173221588135,0.03125,0.03484181890211279
LightGBM_GA_B0018,0.4770962191183628,13.199939727783203,0.00390625,0.038776263491111816
LightGBM_WOA_B0018,0.49353849342738404,19.950544357299805,0.0,0.03698418756317334
LightGBM_Bayesian_B0006,0.6746859658876572,17.100194454193115,70.59375,0.03555460330641608
LightGBM_Bayesian_B0018,0.731751070395752,18.130488634109497,75.71875,0.03786476374476538
