Model,GreenAI_norm,Execution_Time,Memory_MB,RMSE
Base_RandomForest_B0005,0.09350948831748378,0.1559123992919922,0.21484375,0.02047140862479053
Base_XGBoost_B0005,0.11840791248621996,0.050927162170410156,0.046875,0.02225363416530697
Base_LightGBM_B0005,0.19126424857739233,0.03099966049194336,0.0,0.027244143563528132
Base_LightGBM_B0006,0.30545207888483794,0.021116018295288086,0.0078125,0.03503724069252581
RandomForest_PSO_B0005,0.3122757055119623,49.45373511314392,-17.6171875,0.01998742967995611
Base_XGBoost_B0006,0.3212512076737068,0.047997474670410156,0.50390625,0.03598257235462226
Base_LightGBM_B0018,0.3415716507357199,0.020994901657104492,0.0,0.03750365065574939
Base_RandomForest_B0006,0.344704671403369,0.15604019165039062,0.21875,0.03760947305198693
RandomForest_WOA_B0005,0.3603334813493267,50.451005697250366,0.0546875,0.01852540651639252
LightGBM_PSO_B0006,0.36263054936419065,13.395928144454956,-0.19140625,0.033618200514739405
LightGBM_GA_B0006,0.3708605641836005,14.776522397994995,-0.03125,0.03358616266998807
RandomForest_GWO_B0005,0.3849458839504216,53.949517011642456,0.09765625,0.01878969539155243
Base_XGBoost_B0018,0.3871093942185777,0.04000496864318848,0.62109375,0.0404505080696135
RandomForest_Bayesian_B0005,0.38760455866171445,16.153321981430054,49.65625,0.02197138785563762
Base_RandomForest_B0018,0.3980957972394142,0.143815279006958,0.171875,0.04126877682089265
LightGBM_WOA_B0018,0.40580027362693366,11.46045207977295,0.0,0.037293650765766
RandomForest_GA_B0005,0.4183645300438024,56.67459774017334,-0.08203125,0.02002001597657401
LightGBM_GWO_B0006,0.42323303019219516,19.966737031936646,0.0,0.03506827440075432
LightGBM_WOA_B0006,0.42847935590050246,16.94505214691162,0.0,0.03663927552593099
LightGBM_GWO_B0018,0.4339486653449025,14.139646291732788,0.0,0.038138666473970274
LightGBM_GA_B0018,0.43792191455605267,16.003273487091064,0.0,0.03766161576015164
LightGBM_PSO_B0018,0.446357393259345,17.1381196975708,-0.0390625,0.03779118451384629
LightGBM_Bayesian_B0006,0.6639769490757419,17.41873788833618,69.05859375,0.03555460330641608
LightGBM_Bayesian_B0018,0.7269222560775979,18.74146032333374,74.9765625,0.03786476374476538
