battery,model,optimizer,test_RMSE_mean,test_RMSE_std,test_RMSE_min,test_RMSE_max,test_MAE_mean,test_R2_mean,test_MAPE_mean,hpo_time_mean,hpo_time_std,training_time_mean,training_time_std,model_size_mb_mean,model_size_mb_std,inference_ms_mean,hpo_ram_mean,train_ram_mean,n_runs,RMSE_CI_lower,RMSE_CI_upper,RandomSearch_RMSE,RMSE_Improvement_vs_RandomSearch_pct,Pareto_Optimal
B0005,LightGBM,Bayesian,0.0200072338116414,0.0008154337879320994,0.01891256481166072,0.021733562452056435,0.018364610471270443,-4.714062261268291,2.799679951151689,107.45784651997965,57.6658248899968,0.07823272494133562,0.060238216176868614,0.45089330673217776,0.35897815235332614,0.4810074926353991,269.938671875,0.3904296875,20,0.019649854196971996,0.020364613426310796,0.02722008056745547,26.498256454236227,False
B0005,LightGBM,GA,0.028138425032585106,0.008014709438112971,0.018568467903097456,0.052630090330183295,0.026738115303884112,-11.154317712422937,4.070663899015619,2.5697771600447594,1.1532613663226545,0.05196687495335937,0.033665071441404494,0.22922492027282715,0.17907084357877787,0.45359996147453785,1.1076171875,0.2736328125,20,0.024625823748373275,0.031651026316796935,0.02722008056745547,-3.3737757052329123,False
B0005,LightGBM,GWO,0.02091840811633276,0.0018889594650478244,0.0193894792567865,0.026267724618233398,0.01935882251345203,-5.284846488377583,2.9505730049926653,3.2157706500263883,2.238642588017289,0.07043023996520788,0.061245313427321486,0.33228745460510256,0.2721238321479613,0.4945275140926242,1.4896484375,0.393359375,20,0.0200905351292974,0.02174628110336812,0.02722008056745547,23.15082218623936,True
B0005,LightGBM,PSO,0.020045873262418808,0.0012918463096407372,0.018868168054045276,0.0244333648420617,0.018333362149286735,-4.749712598863051,2.7950941341888593,3.9968337699538097,1.4730265430569722,0.08747136003803462,0.044367255000644146,0.5361071586608886,0.3048770400472474,0.5064999801106751,1.5134765625,0.4689453125,20,0.019479696654110378,0.020612049870727237,0.02722008056745547,26.35630444685089,True
B0005,LightGBM,RandomSearch,0.02722008056745547,0.004186267058278493,0.019865562896518762,0.03713952924119863,0.0257994579023711,-9.797304646342052,3.9284564495839818,1.4075709000695498,0.37264479976414583,0.03718386001419276,0.016726588091515032,0.1595839023590088,0.0885358419332642,0.4046099493280053,1.1130859375,0.11640625,20,0.02538536813545683,0.029054792999454113,0.02722008056745547,0.0,True
B0005,LightGBM,WOA,0.022803731111797555,0.003717175251012484,0.018918624332485718,0.0334006767682346,0.02120954837509286,-6.598443251330378,3.2317450500654035,2.1647921299561856,1.4948504537863356,0.03897374493535608,0.030780720866385877,0.19874076843261718,0.2007844799476835,0.4743674537166953,1.330078125,0.27109375,20,0.021174607228870976,0.024432854994724126,0.02722008056745547,16.224600969543545,True
B0005,RandomForest,Bayesian,0.018723176572180717,0.00034559197054850324,0.017875406638559275,0.019258544411131368,0.017016428001239293,-3.997878260162744,2.5947972107275956,82.44161879003514,34.78354811049597,0.34548688498325647,0.2021713768332334,3.0610986709594727,1.9062830873035004,13.920822413638234,178.590234375,0.1380859375,20,0.018571714213010303,0.01887463893135113,0.019102399971446256,1.9852133754522547,False
B0005,RandomForest,GA,0.01983518726710931,0.001040340246894545,0.018623204869292555,0.02209564041640417,0.018158119480595668,-4.622017193863056,2.7683037908332344,28.573027759999967,9.452512967668298,0.28763484000228345,0.12028191128587762,1.6883295059204102,1.2163118972309104,14.498877548612654,0.3703125,0.065625,20,0.019379238050799427,0.020291136483419195,0.019102399971446256,-3.836100682418992,False
B0005,RandomForest,GWO,0.0189316108667262,0.000503747481114965,0.01834292970132337,0.020514283658664086,0.01723660750726986,-4.111557181357108,2.6282536955093536,27.679632209986448,14.491416403487351,0.2577970749465749,0.17772933441533623,2.2778512954711916,1.7640396605356932,11.664792499504983,0.623046875,0.015234375,20,0.0187108337989178,0.0191523879345346,0.019102399971446256,0.8940714516256987,False
B0005,RandomForest,PSO,0.018718145341579468,0.00020014616272182324,0.01842918894695297,0.01911083681725449,0.017031667643687402,-3.994118743485481,2.5970198535242037,35.83107945008669,12.37237304057166,0.43010746999643745,0.1883842440338381,4.248079872131347,1.731940197923913,18.424854998011142,1.6466796875,0.1916015625,20,0.01863042741822425,0.018805863264934688,0.019102399971446256,2.0115515874505876,False
B0005,RandomForest,RandomSearch,0.019102399971446256,0.0005362478291210056,0.01851750213673238,0.021125648071995164,0.017415608562432267,-4.2045950775643615,2.6554536171733227,27.50926403508056,7.504638666864824,0.37381407506763936,0.1907796486278113,2.5751413345336913,1.3883268034011065,16.16028246935457,4.3283203125,0.018359375,20,0.018867378998100807,0.019337420944791704,0.019102399971446256,0.0,False
B0005,RandomForest,WOA,0.01933639672652223,0.001095134173518343,0.017888083932880106,0.022969756074101913,0.017595147528594285,-4.345133418649779,2.682758234962272,20.964741480024532,11.57322221941404,0.20637015495449304,0.17725678613497306,1.7964212417602539,1.475506336638297,9.571962500922382,0.6017578125,0.0189453125,20,0.0188564330130541,0.01981636043999036,0.019102399971446256,-1.2249599810795821,False
B0005,XGBoost,Bayesian,0.018124988980624413,0.0034480061984651887,0.015320089770352293,0.026823642626191864,0.016492205709846018,-3.8430798129395525,2.5146117033253725,99.20129327995237,45.61761164253304,0.23488990501500667,0.47761843476122273,0.3606959342956543,0.4284744998357885,0.27261744253337383,254.529296875,2.42734375,20,0.016613833636289085,0.019636144324959734,0.06722913513775819,73.0399789563189,True
B0005,XGBoost,GA,0.05657033074803821,0.026841771683875613,0.015452700199861757,0.1003554603843738,0.055795376075832445,-54.36546686441583,8.476681312923656,5.573119555017911,2.537735967362446,0.08152179499156773,0.05041232480147948,0.22225303649902345,0.10833524438208968,0.21398502867668867,0.8703125,0.626171875,20,0.044806405628189924,0.06833425586788648,0.06722913513775819,15.854442226393642,False
B0005,XGBoost,GWO,0.019032999667703734,0.005554718664031847,0.015130662379648014,0.03396585916418027,0.017430428087395665,-4.580747906975186,2.657149871458432,6.316087349923327,2.078062572485686,0.10257808496244251,0.04312400751945265,0.2381650447845459,0.08623763532507589,0.2534299739636481,2.948046875,2.297265625,20,0.016598536876085975,0.021467462459321487,0.06722913513775819,71.68935814999925,False
B0005,XGBoost,PSO,0.016381523637373625,0.0022560291961992883,0.014453763310982982,0.025038315281612194,0.014749709077908239,-2.8935886767162287,2.2498044544906377,8.112701669987292,2.8883078437943968,0.13054062004666775,0.07294810053594905,0.2961876392364502,0.17923037522083254,0.27021998539566994,4.953125,2.9345703125,20,0.015392775247556164,0.017370272027191085,0.06722913513775819,75.63329707602739,False
B0005,XGBoost,RandomSearch,0.06722913513775819,0.008830655114099951,0.04853203044605126,0.08881247375638945,0.06669695166868042,-64.47292548381805,10.130377533470352,4.481557565019466,1.173889137691633,0.07068105996586382,0.028841269329523588,0.20649957656860352,0.09439254781109703,0.25176245253533125,0.534375,0.0203125,20,0.06335892989404536,0.07109934038147096,0.06722913513775819,0.0,False
B0005,XGBoost,WOA,0.017142256211879356,0.006927161156335264,0.01498079336711799,0.046328133706099124,0.015513310257214563,-3.8378591347901883,2.3655579705498964,6.628066934971139,3.114682000691324,0.09787921996321529,0.05065791367300959,0.20605688095092772,0.11986294810769454,0.25236502988263965,7.2970703125,5.1044921875,20,0.014106293977493663,0.020178218446265047,0.06722913513775819,74.50174514850828,True
