run_id,battery,model,optimizer,test_RMSE,test_MAE,test_R2,test_MAPE,training_time,hpo_time,model_size_mb,inference_ms_per_sample,train_peak_ram_abs_mb,train_peak_ram_delta_mb,hpo_peak_ram_abs_mb,hpo_peak_ram_delta_mb
1,B0005,RandomForest,GWO,0.019338871206368766,0.01767401022595505,-4.330258942882038,2.6946677117853066,0.3853780999779701,29.593753300141543,3.4734201431274414,14.903950039297342,314.9765625,0.0234375,315.171875,1.22265625
1,B0005,RandomForest,PSO,0.01911083681725449,0.01740606186574931,-4.2052965139849245,2.6541681703181905,0.6746322000399232,46.30360979959369,6.284684181213379,27.266150107607245,313.99609375,3.45703125,318.20703125,3.25
1,B0005,RandomForest,GA,0.0189676763880206,0.017280227363390244,-4.127602235136599,2.634843391971024,0.42158850003033876,40.20479900017381,4.977128028869629,20.948699908331037,313.71875,1.02734375,318.953125,4.015625
1,B0005,RandomForest,WOA,0.020190301421758587,0.018445937557717878,-4.809940308911192,2.811961160147643,0.15011429972946644,17.217321400064975,1.362259864807129,8.697049925103784,315.49609375,0.01953125,315.49609375,1.30859375
1,B0005,RandomForest,Bayesian,0.019244784925019385,0.01754181588304952,-4.27852021485613,2.6746402452947278,0.35110299987718463,56.71078970003873,2.829667091369629,12.048899661749601,457.83203125,0.078125,495.15625,179.6640625
1,B0005,RandomForest,RandomSearch,0.01917923704977669,0.01753535336910183,-4.242624095071414,2.673780934025554,0.07804870000109076,26.922842300031334,0.4273691177368164,3.076949855312705,455.3515625,0.04296875,457.93359375,0.01953125
1,B0005,XGBoost,GWO,0.02448505961527305,0.02314765047995472,-7.544534286951983,3.525469551437289,0.08032289985567331,4.565723799634725,0.3608865737915039,0.3182000946253538,451.4453125,1.89453125,454.41796875,0.03515625
1,B0005,XGBoost,PSO,0.0157259190014122,0.014052449354442963,-2.5246673389824954,2.143983784584728,0.16039150021970272,9.35834510019049,0.4299631118774414,0.31359982676804066,452.7109375,2.2578125,453.7265625,4.140625
1,B0005,XGBoost,GA,0.05508587058092457,0.05445902950915536,-42.248046986800425,8.274304164501812,0.09118960006162524,6.762150099966675,0.3276662826538086,0.16899988986551762,451.53125,1.06640625,450.73828125,0.28125
1,B0005,XGBoost,WOA,0.046328133706099124,0.0455614407059374,-29.58973227252275,6.9252721254482825,0.06991269998252392,6.23190680006519,0.17426204681396484,0.2492999192327261,450.48828125,0.01953125,450.7421875,0.27734375
1,B0005,XGBoost,Bayesian,0.017741270052783222,0.016174026250523568,-3.485960845274069,2.466271159657142,0.7383152996189892,63.4727811999619,1.540135383605957,0.6767997983843088,785.96484375,10.515625,812.21875,361.74609375
1,B0005,XGBoost,RandomSearch,0.06459335901258338,0.06404793590734167,-58.46505218141804,9.728686785365813,0.10396290011703968,3.9954591998830438,0.3442878723144531,0.3037999849766493,775.82421875,0.01953125,777.640625,0.671875
1,B0005,LightGBM,GWO,0.01950479425492058,0.017898007734471276,-4.422116097597551,2.7285021063110317,0.06462590023875237,3.6437704996205866,0.3542366027832031,0.4809501115232706,778.03125,1.0234375,778.03125,2.22265625
1,B0005,LightGBM,PSO,0.020811860817537758,0.019076677109047903,-5.17316508179591,2.9081403414835205,0.01758110010996461,1.1196683999150991,0.06995010375976562,0.34665013663470745,777.03515625,0.00390625,778.0390625,1.03125
1,B0005,LightGBM,GA,0.03751657851429307,0.036561704797805336,-19.060073208494842,5.560530839132135,0.02366730011999607,1.638863599859178,0.06365489959716797,0.3873498644679785,777.0390625,0.01953125,778.04296875,1.02734375
1,B0005,LightGBM,WOA,0.02347236324237093,0.022177653324748883,-6.852350923778642,3.377696225671747,0.06421069987118244,3.1898060999810696,0.3287363052368164,0.3627501428127289,778.25,1.0078125,778.25,1.23046875
1,B0005,LightGBM,Bayesian,0.01919549248923003,0.017606023475253172,-4.251514675348464,2.6840534266899643,0.026187399867922068,53.6967508001253,0.1448230743408203,0.33585005439817905,1018.25,0.01953125,1057.01953125,279.79296875
1,B0005,LightGBM,RandomSearch,0.03211600326955842,0.03099777366301796,-13.700396618413937,4.716766804225485,0.014073899947106838,1.276752000208944,0.06463146209716797,0.4787999205291271,1018.44921875,0.01953125,1019.453125,1.2109375
1,B0006,RandomForest,GWO,0.040704048099839386,0.03584806310692114,-3.856969287534789,6.18674569926471,0.6352841001935303,38.62414920004085,6.103089332580566,27.786399936303496,1020.51171875,0.01953125,1020.51171875,1.99609375
1,B0006,RandomForest,PSO,0.040711237977192394,0.03597618489025895,-3.8586852887337937,6.206952133440864,0.5662231002934277,32.9333605999127,5.830948829650879,26.35374991223216,1024.2421875,0.01953125,1024.2421875,3.30078125
1,B0006,RandomForest,GA,0.04111466734338268,0.03635620878781871,-3.9554570128313067,6.2721666772720175,0.30436829989776015,26.365919900126755,1.468003273010254,13.733049854636192,1024.53515625,0.01953125,1024.53515625,0.03125
1,B0006,RandomForest,WOA,0.042977176938498604,0.03846923467443668,-4.414594283044676,6.63084856854904,0.3160796999000013,31.98606609972194,1.994248390197754,18.791000125929713,1024.53515625,0.01953125,1024.53515625,0.01953125
1,B0006,RandomForest,Bayesian,0.04084951478804478,0.03613182396976673,-3.8917466500353806,6.233318680973679,0.5405923998914659,57.806859800126404,6.284684181213379,27.440600330010056,1167.71484375,1.01171875,1209.81640625,185.30078125
1,B0006,RandomForest,RandomSearch,0.04166774689238046,0.03703149161797699,-4.089676581704199,6.386978615573859,0.5729501000605524,23.88545519998297,2.2502756118774414,26.38299996033311,1168.4375,0.01953125,1168.453125,0.01953125
