model,optimizer,test_RMSE_mean,hpo_time_mean,model_size_mb_mean,test_RMSE_mean_norm,hpo_time_mean_norm,model_size_mb_mean_norm,GreenAI_Score,Pareto_Optimal
LightGBM,Bayesian,0.024976893089260165,114.69443549997328,0.44879999160766604,0.04965663616186439,1.0,0.10035469259805786,0.6166628904133593,False
LightGBM,GA,0.03275454698098514,2.170547385032599,0.18544950485229492,0.22095888341308653,0.007100230117362385,0.014173040862701401,0.9192559485356165,False
LightGBM,GWO,0.026207390991153504,2.9993348583191013,0.3012120564778646,0.07675826073486182,0.01441336962305742,0.052056425970921985,0.952257314557053,True
LightGBM,PSO,0.025119370077722403,3.4143598333233967,0.40658432642618814,0.052794681213102164,0.018075509361389103,0.08653958331433698,0.9475300753703906,True
LightGBM,RandomSearch,0.03231653603395475,1.3658886233422285,0.14214008649190266,0.21131172495225903,0.0,0.0,0.929562758349247,True
LightGBM,WOA,0.027834191031369762,2.6205955216583487,0.229819917678833,0.11258841036570602,0.011071410804216775,0.02869329299013632,0.9492156286133137,True
RandomForest,Bayesian,0.023826910448009147,86.88646933333172,2.4130060195922853,0.024328354203240903,0.7546252296262724,0.7431426438407788,0.49263459077656935,False
RandomForest,GA,0.024676955140192147,29.511781189986504,1.379862403869629,0.04305052518977035,0.24835659983608338,0.40504559158233644,0.7678490944639366,False
RandomForest,GWO,0.024005226382039994,27.838819993333892,2.066974067687988,0.028255749359341144,0.23359455406068144,0.6299034182910521,0.7027487594296418,False
RandomForest,PSO,0.023904495832573446,31.171593230015908,3.197900581359863,0.026037166515377227,0.2630026187410665,1.0,0.5703200715811854,False
RandomForest,RandomSearch,0.02404028283012948,26.55588157333744,2.0214357376098633,0.029027865015549985,0.2222740310737146,0.6150009643341386,0.7112323798588656,False
RandomForest,WOA,0.024837590891554764,20.663019989974178,1.4910623550415039,0.04658851564041021,0.1702759975175427,0.4414358621413777,0.7805665415668898,False
XGBoost,Bayesian,0.022722327631470817,107.97764053165447,0.3327321211496989,0.0,0.9407316589382313,0.062371391664329943,0.6656323164658129,True
XGBoost,GA,0.06497636980203035,5.410059173366365,0.2365310509999593,0.9306421293657514,0.03568536491010162,0.030889516592214235,0.6675943297106441,False
XGBoost,GWO,0.027929231428008346,6.067572974964666,0.23424283663431802,0.11468166801775437,0.04148720230870576,0.030140696660323547,0.9378968110044055,False
XGBoost,PSO,0.02955600747085941,7.404340316650147,0.2923284530639648,0.1505112891084188,0.05328270642948727,0.04914925984032391,0.91568558154059,False
XGBoost,RandomSearch,0.06812543247409855,4.4407900932943445,0.20167840321858724,1.0,0.027132629462719927,0.019483960482726652,0.6511278033515178,False
XGBoost,WOA,0.02280690893551525,5.99617782831192,0.18499183654785156,0.0018628969172394827,0.04085721852597478,0.014023268553905606,0.9810855386676267,True
